Date,Open,High,Low,Close,Adj Close,Volume
1980-12-08,0.513393,0.515625,0.513393,0.513393,0.420087,117258400
1980-12-15,0.488839,0.506696,0.450893,0.504464,0.412781,122533600
1980-12-22,0.529018,0.636161,0.529018,0.633929,0.518716,46972800
1980-12-29,0.642857,0.645089,0.609375,0.616071,0.504104,54863200
1981-01-05,0.604911,0.604911,0.540179,0.569196,0.465749,49476000
1981-01-12,0.569196,0.569196,0.544643,0.553571,0.452963,22125600
1981-01-19,0.587054,0.591518,0.569196,0.584821,0.478534,33583200
1981-01-26,0.578125,0.578125,0.504464,0.504464,0.412781,41647200
1981-02-02,0.477679,0.515625,0.475446,0.513393,0.420087,23144800
1981-02-09,0.491071,0.491071,0.455357,0.455357,0.372599,18664800
1981-02-16,0.466518,0.491071,0.433036,0.433036,0.354334,19549600
1981-02-23,0.439732,0.477679,0.424107,0.473214,0.387210,19045600
1981-03-02,0.475446,0.477679,0.457589,0.457589,0.374425,14655200
1981-03-09,0.424107,0.424107,0.386161,0.397321,0.325111,91028000
1981-03-16,0.412946,0.464286,0.412946,0.459821,0.376252,42582400
1981-03-23,0.477679,0.482143,0.441964,0.441964,0.361640,20440000
1981-03-30,0.441964,0.475446,0.433036,0.473214,0.387210,26964000
1981-04-06,0.466518,0.500000,0.459821,0.497768,0.407302,25351200
1981-04-13,0.497768,0.500000,0.446429,0.446429,0.365293,20160000
1981-04-20,0.459821,0.524554,0.459821,0.517857,0.423740,43988000
1981-04-27,0.515625,0.515625,0.497768,0.506696,0.414607,28380800
1981-05-04,0.506696,0.506696,0.488839,0.500000,0.409128,17052000
1981-05-11,0.491071,0.497768,0.479911,0.491071,0.401822,7733600
1981-05-18,0.500000,0.564732,0.491071,0.560268,0.458443,26628000
1981-05-25,0.560268,0.593750,0.558036,0.591518,0.484013,92052800
1981-06-01,0.591518,0.593750,0.562500,0.564732,0.462096,61219200
1981-06-08,0.546875,0.589286,0.544643,0.580357,0.474881,75773600
1981-06-15,0.580357,0.580357,0.540179,0.540179,0.442005,64786400
1981-06-22,0.522321,0.533482,0.515625,0.520089,0.425566,24236800
1981-06-29,0.506696,0.506696,0.459821,0.459821,0.376252,61812800
1981-07-06,0.448661,0.468750,0.397321,0.397321,0.325111,34260800
1981-07-13,0.406250,0.464286,0.406250,0.462054,0.378078,27882400
1981-07-20,0.433036,0.433036,0.404018,0.428571,0.350681,35392000
1981-07-27,0.446429,0.448661,0.424107,0.446429,0.365293,19135200
1981-08-03,0.446429,0.464286,0.441964,0.450893,0.368946,20333600
1981-08-10,0.441964,0.441964,0.408482,0.408482,0.334243,37352000
1981-08-17,0.399554,0.399554,0.359375,0.359375,0.294061,28901600
1981-08-24,0.339286,0.361607,0.337054,0.359375,0.294061,40331200
1981-08-31,0.359375,0.390625,0.359375,0.363839,0.297714,37520000
1981-09-07,0.354911,0.357143,0.350446,0.350446,0.286755,27081600
1981-09-14,0.341518,0.341518,0.314732,0.316964,0.259358,28061600
1981-09-21,0.319196,0.321429,0.254464,0.254464,0.208217,44391200
1981-09-28,0.256696,0.296875,0.256696,0.294643,0.241093,85646400
1981-10-05,0.303571,0.337054,0.301339,0.332589,0.272143,48977600
1981-10-12,0.343750,0.348214,0.323661,0.325893,0.266664,42106400
1981-10-19,0.332589,0.352679,0.332589,0.339286,0.277623,48350400
1981-10-26,0.339286,0.359375,0.339286,0.357143,0.292234,60065600
1981-11-02,0.357143,0.359375,0.319196,0.321429,0.263011,34266400
1981-11-09,0.325893,0.350446,0.323661,0.323661,0.264838,31376800
1981-11-16,0.321429,0.341518,0.319196,0.339286,0.277623,41305600
1981-11-23,0.328125,0.339286,0.321429,0.337054,0.275796,33728800
1981-11-30,0.334821,0.341518,0.330357,0.339286,0.277623,60625600
1981-12-07,0.341518,0.343750,0.334821,0.334821,0.273970,64422400
1981-12-14,0.328125,0.410714,0.323661,0.408482,0.334243,61297600
1981-12-21,0.392857,0.399554,0.388393,0.390625,0.319631,42011200
1981-12-28,0.377232,0.397321,0.372768,0.395089,0.323284,36915200
1982-01-04,0.395089,0.395089,0.339286,0.354911,0.290408,74956000
1982-01-11,0.334821,0.361607,0.319196,0.357143,0.292234,51856000
1982-01-18,0.363839,0.372768,0.354911,0.370536,0.303193,41731200
1982-01-25,0.361607,0.366071,0.345982,0.363839,0.297714,47510400
1982-02-01,0.363839,0.366071,0.352679,0.352679,0.288581,46653600
1982-02-08,0.332589,0.337054,0.330357,0.334821,0.273970,43142400
1982-02-15,0.330357,0.339286,0.328125,0.334821,0.273970,25468800
1982-02-22,0.332589,0.332589,0.325893,0.325893,0.266664,36836800
1982-03-01,0.328125,0.330357,0.296875,0.296875,0.242920,44363200
1982-03-08,0.294643,0.296875,0.272321,0.272321,0.222829,60928000
1982-03-15,0.272321,0.299107,0.252232,0.296875,0.242920,67788000
1982-03-22,0.319196,0.321429,0.290179,0.290179,0.237440,77912800
1982-03-29,0.296875,0.319196,0.296875,0.316964,0.259358,84912800
1982-04-05,0.316964,0.319196,0.310268,0.312500,0.255705,52830400
1982-04-12,0.312500,0.314732,0.285714,0.301339,0.246573,127881600
1982-04-19,0.299107,0.299107,0.274554,0.274554,0.224655,73936800
1982-04-26,0.281250,0.283482,0.261161,0.263393,0.215523,146764800
1982-05-03,0.272321,0.292411,0.272321,0.290179,0.237440,92702400
1982-05-10,0.287946,0.287946,0.261161,0.261161,0.213696,88956000
1982-05-17,0.258929,0.258929,0.250000,0.254464,0.208217,84996800
1982-05-24,0.256696,0.258929,0.250000,0.250000,0.204564,44318400
1982-05-31,0.247768,0.252232,0.234375,0.234375,0.191779,39485600
1982-06-07,0.234375,0.241071,0.227679,0.238839,0.195432,47863200
1982-06-14,0.238839,0.241071,0.229911,0.229911,0.188126,38992800
1982-06-21,0.229911,0.250000,0.229911,0.236607,0.193605,42420000
1982-06-28,0.236607,0.236607,0.214286,0.214286,0.175341,60608800
1982-07-05,0.207589,0.207589,0.196429,0.203125,0.166208,102704000
1982-07-12,0.207589,0.238839,0.207589,0.236607,0.193605,97921600
1982-07-19,0.238839,0.258929,0.238839,0.252232,0.206391,64674400
1982-07-26,0.243304,0.243304,0.229911,0.241071,0.197258,60793600
1982-08-02,0.247768,0.250000,0.218750,0.218750,0.178994,108679200
1982-08-09,0.220982,0.238839,0.220982,0.234375,0.191779,73707200
1982-08-16,0.238839,0.265625,0.238839,0.263393,0.215523,78422400
1982-08-23,0.274554,0.319196,0.274554,0.301339,0.246573,222941600
1982-08-30,0.305804,0.330357,0.305804,0.328125,0.268490,120881600
1982-09-06,0.312500,0.325893,0.310268,0.323661,0.264838,68342400
1982-09-13,0.325893,0.339286,0.316964,0.316964,0.259358,91638400
1982-09-20,0.319196,0.337054,0.319196,0.323661,0.264838,124297600
1982-09-27,0.323661,0.334821,0.323661,0.330357,0.270317,77543200
1982-10-04,0.330357,0.421875,0.321429,0.419643,0.343375,227578400
1982-10-11,0.419643,0.441964,0.404018,0.410714,0.336070,273700000
1982-10-18,0.410714,0.477679,0.410714,0.462054,0.378078,212122400
1982-10-25,0.462054,0.464286,0.415179,0.453125,0.370772,219912000
1982-11-01,0.453125,0.569196,0.448661,0.537946,0.440178,280229600
1982-11-08,0.537946,0.607143,0.513393,0.578125,0.473054,189005600
1982-11-15,0.578125,0.584821,0.533482,0.551339,0.451137,175184800
1982-11-22,0.551339,0.551339,0.502232,0.517857,0.423740,91369600
1982-11-29,0.517857,0.602679,0.500000,0.566964,0.463922,157074400
1982-12-06,0.566964,0.622768,0.515625,0.522321,0.427393,197080800
1982-12-13,0.517857,0.542411,0.493304,0.537946,0.440178,179530400
1982-12-20,0.537946,0.571429,0.526786,0.571429,0.467575,84481600
1982-12-27,0.571429,0.602679,0.529018,0.533482,0.436525,115617600
1983-01-03,0.533482,0.544643,0.491071,0.491071,0.401822,186984000
1983-01-10,0.491071,0.589286,0.486607,0.589286,0.482187,180157600
1983-01-17,0.589286,0.696429,0.580357,0.667411,0.546113,433686400
1983-01-24,0.667411,0.750000,0.618304,0.732143,0.599081,296928800
1983-01-31,0.732143,0.810268,0.716518,0.785714,0.642916,283225600
